"Rank","Player","Pos","Tm","G","FG"
1,"Giannis Antetokounmpo","PF","MIL",57,623
2,"James Harden","SG","HOU",61,603
3,"Bradley Beal","SG","WAS",57,593
4,"LeBron James","PG","LAL",60,586
5,"Russell Westbrook","PG","HOU",53,568
6,"Donovan Mitchell","SG","UTA",63,560
7,"CJ McCollum","SG","POR",62,549
8,"Trae Young","PG","ATL",60,546
9,"Devin Booker","SG","PHO",62,544
10,"Zach LaVine","SG","CHI",60,539
11,"Damian Lillard","PG","POR",58,531
12,"Collin Sexton","SG","CLE",65,513
13,"Luka Doncic","PG","DAL",54,512
14,"Nikola Jokic","C","DEN",65,512
15,"Anthony Davis","PF","LAL",55,508
16,"DeMar DeRozan","SF","SAS",61,503
17,"Jayson Tatum","PF","BOS",59,499
18,"Tobias Harris","PF","PHI",65,494
19,"Kawhi Leonard","SF","LAC",51,476
20,"Montrezl Harrell","C","LAC",63,471
21,"Brandon Ingram","PF","NOP",56,469
22,"Julius Randle","PF","NYK",64,463
23,"T.J. Warren","SF","IND",61,460
24,"Pascal Siakam","PF","TOR",53,459
25,"Domantas Sabonis","C","IND",62,458
26,"Buddy Hield","SG","SAC",64,456
27,"Shai Gilgeous-Alexander","SG","OKC",63,442
28,"Dennis Schröder","PG","OKC",63,442
29,"Andrew Wiggins","SF-SG","TOT",54,437
30,"Nikola Vucevic","C","ORL",54,428
31,"Spencer Dinwiddie","SG","BRK",64,424
32,"Khris Middleton","SF","MIL",55,424
33,"Jrue Holiday","SG","NOP",55,421
34,"Bojan Bogdanovic","SF","UTA",63,418
35,"Andre Drummond","C","TOT",57,418
36,"Hassan Whiteside","C","POR",61,418
37,"Bam Adebayo","PF","MIA",65,408
38,"Evan Fournier","SG","ORL",61,408
39,"Terry Rozier","PG","CHO",63,398
40,"Chris Paul","PG","OKC",63,394
41,"Ja Morant","PG","MEM",59,393
42,"LaMarcus Aldridge","C","SAS",53,391
43,"Jamal Murray","PG","DEN",55,385
44,"Jonas Valanciunas","C","MEM",62,385
45,"Kendrick Nunn","SG","MIA",62,381
46,"Jaylen Brown","SF","BOS",50,378
47,"Kelly Oubre Jr.","SF","PHO",56,373
48,"Dillon Brooks","SG","MEM",65,372
49,"Derrick Rose","PG","DET",50,369
50,"Devonte' Graham","PG","CHO",63,368
51,"Lou Williams","SG","LAC",60,367
52,"Ben Simmons","PG","PHI",54,361
53,"D'Angelo Russell","PG","TOT",45,360
54,"John Collins","PF","ATL",41,353
55,"Rudy Gobert","C","UTA",62,353
56,"Jordan Clarkson","SG","TOT",63,350
57,"Kemba Walker","PG","BOS",50,350
58,"Tim Hardaway Jr.","SG","DAL",63,346
59,"Kristaps Porzingis","PF","DAL",51,339
60,"Will Barton","SF","DEN",58,332
61,"Joel Embiid","C","PHI",44,332
62,"Joe Harris","SF","BRK",63,332
63,"De'Aaron Fox","PG","SAC",45,329
64,"Danilo Gallinari","PF","OKC",55,329
65,"Jimmy Butler","SF","MIA",54,328
66,"Jaren Jackson Jr.","C","MEM",54,328
67,"Kevin Love","PF","CLE",56,327
68,"Harrison Barnes","PF","SAC",64,326
69,"Marcus Morris","SF-PF","TOT",55,325
70,"Serge Ibaka","C","TOR",50,323
71,"Markelle Fultz","PG","ORL",64,320
72,"Eric Bledsoe","PG","MIL",56,319
73,"Miles Bridges","SF","CHO",65,319
74,"Eric Paschall","PF","GSW",60,318
75,"Terrence Ross","SG","ORL",63,316
76,"Karl-Anthony Towns","C","MIN",35,316
77,"Aaron Gordon","PF","ORL",58,314
78,"Coby White","SG","CHI",65,312
79,"Kyle Lowry","PG","TOR",52,309
80,"Gordon Hayward","SF","BOS",45,305
81,"RJ Barrett","SG","NYK",56,292
82,"Paul George","SF","LAC",42,291
83,"Goran Dragic","PG","MIA",54,290
