"Date";"Tm";"at";"Opp";"Result";"Player";"Dist";"Good.";"Blk.";"Pressure";"Altitude";"Roof.type";"Field"
"2019-09-09";"DEN";"@";"OAK";"L 16-24";"Brandon McManus";64;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-20";"DAL";"";"PHI";"W 37-10";"Brett Maher";63;1;"no";"Regular Season";"no";"dome";"turf"
"2019-09-22";"BUF";"";"CIN";"W 21-17";"Stephen Hauschka";62;0;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"DAL";"@";"NYJ";"L 22-24";"Brett Maher";62;1;"no";"Regular Season";"no";"open";"turf"
"2019-10-13";"CAR";"@";"TAM";"W 37-26";"Joey Slye";60;0;"no";"Regular Season";"no";"open";"turf"
"2019-09-29";"TAM";"@";"LAR";"W 55-40";"Matt Gay";58;1;"no";"Regular Season";"no";"open";"grass"
"2019-11-03";"HOU";"@";"JAX";"W 26-3";"Ka'imi Fairbairn";58;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"LAR";"";"TAM";"L 40-55";"Greg Zuerlein";58;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-15";"SEA";"@";"PIT";"W 28-26";"Jason Myers";58;0;"no";"Regular Season";"no";"open";"grass"
"2019-09-09";"NOR";"";"HOU";"W 30-28";"Wil Lutz";58;1;"no";"Regular Season";"no";"dome";"grass"
"2019-12-22";"CIN";"@";"MIA";"L 35-38";"Randy Bullock";57;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-29";"IND";"";"OAK";"L 24-31";"Adam Vinatieri";57;0;"no";"Regular Season";"no";"dome";"turf"
"2019-12-29";"DEN";"";"OAK";"W 16-15";"Brandon McManus";57;0;"no";"Regular Season";"yes";"open";"grass"
"2019-11-10";"DAL";"";"MIN";"L 24-28";"Brett Maher";57;0;"no";"Regular Season";"no";"dome";"turf"
"2019-09-08";"SFO";"@";"TAM";"W 31-17";"Robbie Gould";57;0;"no";"Regular Season";"no";"open";"grass"
"2019-10-06";"CAR";"";"JAX";"W 34-27";"Joey Slye";56;0;"yes";"Regular Season";"no";"open";"grass"
"2019-09-09";"NOR";"";"HOU";"W 30-28";"Wil Lutz";56;0;"no";"Regular Season";"no";"dome";"grass"
"2019-09-22";"HOU";"@";"LAC";"W 27-20";"Ka'imi Fairbairn";56;0;"no";"Regular Season";"no";"open";"grass"
"2019-12-22";"KAN";"@";"CHI";"W 26-3";"Harrison Butker";56;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"JAX";"";"IND";"W 38-20";"Josh Lambo";56;1;"no";"Regular Season";"no";"open";"grass"
"2019-09-08";"LAR";"@";"CAR";"W 30-27";"Greg Zuerlein";56;1;"no";"Regular Season";"no";"open";"grass"
"2019-12-29";"DET";"";"GNB";"L 20-23";"Matt Prater";56;1;"no";"Regular Season";"no";"dome";"turf"
"2019-11-03";"TEN";"@";"CAR";"L 20-30";"Ryan Succop";56;0;"no";"Regular Season";"no";"open";"grass"
