"case"	"price"	"size"	"new"	"taxes"	"bedrooms"	"baths"
"1"	1	"1"	2048	0	3104	4	2
"2"	2	"1"	912	0	1173	2	1
"3"	3	"1"	1654	0	3076	4	2
"4"	4	"1"	2068	0	1608	3	2
"5"	5	"1"	1477	0	1454	3	3
"6"	6	"1"	3153	1	2997	3	2
"7"	7	"1"	1355	0	4054	3	2
"8"	8	"1"	2075	1	3002	3	2
"9"	9	"1"	3990	0	6627	5	4
"10"	10	"0"	1160	0	320	3	2
"11"	11	"0"	1220	0	630	3	2
"12"	12	"1"	1690	0	1780	3	2
"13"	13	"0"	1380	0	1630	3	2
"14"	14	"0"	1590	0	1530	3	2
"15"	15	"0"	1050	0	930	3	1
"16"	16	"0"	770	0	590	2	1
"17"	17	"0"	1410	0	1050	3	2
"18"	18	"0"	1060	0	20	3	1
"19"	19	"0"	1300	0	870	2	2
"20"	20	"0"	1500	0	1320	3	2
"21"	21	"0"	820	0	1350	2	1
"22"	22	"1"	3949	1	5616	4	3
"23"	23	"1"	1170	0	680	2	1
"24"	24	"1"	1500	0	1840	3	2
"25"	25	"1"	2790	0	3680	4	2
"26"	26	"0"	1030	0	1660	3	1
"27"	27	"0"	1250	0	1620	3	2
"28"	28	"1"	1760	0	3100	3	2
"29"	29	"1"	1550	0	2070	2	3
"30"	30	"0"	1120	0	830	3	2
"31"	31	"1"	2000	0	2260	4	2
"32"	32	"0"	1350	0	1760	3	1
"33"	33	"1"	1840	1	2750	3	2
"34"	34	"1"	2510	0	2020	4	2
"35"	35	"1"	3110	1	4900	3	3
"36"	36	"0"	1760	0	1180	4	2
"37"	37	"1"	1710	0	2150	3	2
"38"	38	"0"	1110	0	1600	2	1
"39"	39	"0"	1360	0	1970	3	2
"40"	40	"0"	1250	0	2060	3	1
"41"	41	"0"	1250	0	1980	3	1
"42"	42	"1"	1480	0	1510	3	2
"43"	43	"1"	1520	0	1710	3	2
"44"	44	"1"	2020	0	1590	3	2
"45"	45	"0"	1010	0	1230	3	2
"46"	46	"0"	1640	0	1510	2	2
"47"	47	"0"	940	0	1450	2	2
"48"	48	"0"	1580	0	970	3	2
"49"	49	"0"	860	0	150	2	2
"50"	50	"1"	1420	0	1470	3	2
"51"	51	"0"	1270	0	1850	3	2
"52"	52	"0"	980	0	820	2	1
"53"	53	"1"	2300	0	2050	4	2
"54"	54	"0"	1430	0	710	3	2
"55"	55	"1"	1380	0	1280	3	2
"56"	56	"1"	1240	0	1360	3	2
"57"	57	"0"	1120	0	830	3	2
"58"	58	"0"	1120	0	800	3	2
"59"	59	"0"	1900	0	1220	3	2
"60"	60	"1"	2430	0	3360	4	3
"61"	61	"0"	1080	0	210	3	2
"62"	62	"0"	1350	0	380	2	1
"63"	63	"0"	1720	0	1920	4	3
"64"	64	"1"	4050	0	4350	3	3
"65"	65	"1"	1500	0	1510	3	2
"66"	66	"1"	2581	0	4154	3	3
"67"	67	"1"	2120	1	1976	3	2
"68"	68	"1"	2745	1	3605	3	3
"69"	69	"1"	1520	0	1400	3	2
"70"	70	"0"	1280	0	790	2	2
"71"	71	"1"	1620	0	1210	3	2
"72"	72	"0"	1520	0	1550	3	2
"73"	73	"1"	2030	0	2800	3	2
"74"	74	"1"	1390	0	2560	3	2
"75"	75	"1"	1880	0	1390	4	2
"76"	76	"1"	2891	0	5443	3	2
"77"	77	"0"	1340	0	2850	2	1
"78"	78	"0"	940	0	2230	2	2
"79"	79	"0"	580	0	20	2	1
"80"	80	"0"	1410	0	1510	4	2
"81"	81	"0"	1150	0	710	3	2
"82"	82	"0"	1380	0	1540	3	2
"83"	83	"1"	1470	1	1780	3	2
"84"	84	"1"	1590	1	2920	2	2
"85"	85	"0"	1200	1	1710	3	2
"86"	86	"1"	1920	0	1880	3	2
"87"	87	"1"	2150	0	1680	3	2
"88"	88	"0"	2200	0	3690	5	3
"89"	89	"0"	860	0	900	2	2
"90"	90	"0"	1230	0	560	3	1
"91"	91	"1"	1140	0	2040	4	2
"92"	92	"1"	2650	1	4390	4	3
"93"	93	"0"	1060	0	690	3	1
"94"	94	"0"	1770	0	2100	3	2
"95"	95	"1"	1860	0	2880	4	2
"96"	96	"1"	1060	0	990	2	2
"97"	97	"1"	1730	0	3030	3	2
"98"	98	"0"	1370	0	1580	3	2
"99"	99	"0"	1560	0	1770	3	2
"100"	100	"0"	1340	0	1430	3	2
