"dist" "speed"
54.47 52.6
66.52 81.47
21.32 40.05
39.86 58.27
65.52 67.59
32.43 66.56
19.18 56.72
38.34 52.2
35.63 49.46
34.27 58.46
100.42 93.67
55.83 64.37
39.35 54.65
12.72 51.63
58.48 65.67
39.45 68.31
62.2 73.31
69.34 88.36
47.79 66.64
29.06 65.08
77.64 89.99
24.26 37.77
68.39 74.05
25.25 56.94
53.79 47.94
42.96 60.87
27.77 53.47
102.36 91.97
38.02 49.96
29.07 41.31
42.59 47.21
16.4 63.25
92.55 71.62
45.65 52.96
13.48 51.09
61.57 72.31
112.04 100.14
29.79 31.8
41.58 56.3
34.48 65
32.85 42.79
44.32 54.32
80.32 73.53
21.91 30.33
78.99 80.05
13.82 53.15
40.01 62.72
13.99 38.57
46.78 59.02
69.39 83.03
