"repayment","account","time","behavior","usage","amount","savings","employment","rate","famgen","guaran","residence","finance","age","furthcred","home","prevcred","job","pers","phone","gastarb","dtime","damount","dage","simple.score"
1,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,1,1,1,"8","8","1",0.402366059686192
1,1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,"9","6","2",0.665640126921063
1,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1,"9","9","1",0.573258081885781
1,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,2,1,0,"9","7","2",0.709896604624755
1,1,12,4,0,2171,1,3,4,3,1,4,2,38,1,2,2,2,1,1,0,"9","7","2",0.671100730780803
1,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,0,"9","7","3",0.728193039860311
1,1,8,4,0,3398,1,4,1,3,1,4,1,39,3,2,2,2,1,1,0,"9","6","2",0.943467211444264
1,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,0,"10","8","3",0.839952884242713
1,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1,"8","8","5",0.746357001728806
1,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,1,1,1,"7","6","1",0.519472769888105
1,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,"9","6","2",0.665640126921024
1,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1,"6","5","1",0.598110475173642
1,1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,1,1,1,"10","7","2",0.81483950750794
1,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,1,2,1,"3","4","2",0.428564855996193
1,1,18,2,3,1936,5,4,2,4,1,4,3,23,3,1,2,2,1,1,1,"8","7","1",0.584108914863094
1,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,"10","6","3",0.713524512322718
1,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,2,1,1,"9","6","3",0.747131035957686
1,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,1,1,1,"8","6","1",0.723347014001987
1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1,"5","7","2",0.68839950453907
1,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1,"9","5","2",1.03262294218251
1,1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,2,1,1,"10","6","2",0.731817792889611
1,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1,"9","6","3",0.742225201543996
0,2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1,"5","7","2",0.326384420629129
1,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,1,1,"9","8","2",0.786598414780436
1,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,2,1,1,"10","6","3",0.932593788271753
1,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,1,1,"9","6","3",0.829058673448197
1,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,1,1,1,"9","9","1",0.330050146420061
1,2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,1,1,1,"9","8","2",0.840273942970725
1,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,1,1,1,"8","6","2",0.914527659236153
1,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,1,"4","6","3",0.899858488015099
1,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,1,1,1,"6","6","3",0.872854834715225
1,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1,"5","6","2",0.81150106645911
1,4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,1,2,1,"5","5","2",0.789792451007256
1,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,1,"7","8","2",0.769238511285296
1,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,1,1,1,"8","7","2",0.560277144333742
1,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1,"10","9","2",0.68337604998665
1,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,1,1,"9","8","2",0.952055101994229
1,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,1,1,1,"9","7","2",0.989741321051378
1,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,1,"8","6","2",1.06734373406777
1,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,2,1,"7","6","3",0.829760045922193
1,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,1,1,1,"9","9","1",0.924668170764083
1,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,1,"7","7","3",0.720835346279957
1,4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,1,1,1,"8","8","2",0.83088906185479
1,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,2,2,1,"7","6","2",0.827133241772141
