"","repayment","account","time","behavior","usage","amount","savings","employment","rate","famgen","guaran","residence","finance","age","furthcred","home","prevcred","job","pers","phone","gastarb","dtime","damount","dage","simple.score"
"1",1,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,1,1,2,8,8,1,52
"2",1,1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,2,1,2,9,6,2,49
"3",1,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,2,9,9,1,59
"4",1,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,2,1,1,9,7,2,49
"5",1,1,12,4,0,2171,1,3,4,3,1,4,2,38,1,2,2,2,1,1,1,9,7,2,51
"6",1,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,1,9,7,3,48
"7",1,1,8,4,0,3398,1,4,1,3,1,4,1,39,3,2,2,2,1,1,1,9,6,2,49
"8",1,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,1,10,8,3,52
"9",1,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,1,1,2,8,8,4,59
"10",1,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,1,1,2,7,6,1,47
"11",1,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,2,1,2,9,6,2,49
"12",1,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,2,6,5,1,50
"13",1,1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,1,1,2,10,7,2,56
"14",1,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,1,2,2,3,4,2,56
"15",1,1,18,2,3,1936,5,4,2,4,1,4,3,23,3,1,2,2,1,1,2,8,7,1,57
"16",1,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,2,10,6,3,54
"17",1,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,2,1,2,9,6,3,49
"18",1,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,1,1,2,8,6,1,49
"19",1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,2,5,7,2,55
"20",1,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,2,9,5,2,52
"21",1,1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,2,1,2,10,6,2,51
"22",1,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,2,9,6,3,48
"23",0,2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,2,5,7,2,50
"24",1,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,1,2,9,8,2,60
"25",1,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,2,1,2,10,6,3,54
"26",1,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,1,2,9,6,3,56
"27",1,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,1,1,2,9,9,1,55
"28",1,2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,1,1,2,9,8,2,59
"29",1,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,1,1,2,8,6,2,56
